pos;ngram_range;min_df;norm;sublinear_tf;class_weight;penalty;C;fit_intercept;intercept_scaling;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;mean_fit_time;rank_test_score
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l1;False;None;l2;0.1;True;1.0;0.5541180665779163;0.5564047716503467;0.5491867322831198;0.5750666840456876;0.559918393798849;0.558938929671184;0.5657396793365479;243
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;True;None;l2;0.1;True;1.0;0.6266091807126671;0.6373617730211315;0.6318522611953579;0.6291343023839524;0.6425359830707775;0.6334987000767773;0.5579055309295654;51
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 1);5;l2;False;None;l2;0.1;True;1.0;0.6264698270223571;0.6318087050403364;0.6298269984379851;0.6277299074797446;0.6392207004683442;0.6310112276897535;0.5485922813415527;63
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;True;None;l2;0.1;True;1.0;0.5490850105641081;0.5503752217909326;0.5405025838821221;0.5691559365915121;0.5554959590623038;0.5529229423781958;0.6337500095367432;245
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l1;False;None;l2;0.1;True;1.0;0.5470176710510476;0.54880521485279;0.5389473778576478;0.5686366898937479;0.553045136575448;0.5512904180461362;0.7262668609619141;247
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;True;None;l2;0.1;True;1.0;0.6303580012099952;0.6352295230989122;0.6304537304667884;0.6344345232137311;0.6430056236562001;0.6346962803291254;0.6171510696411133;47
('ADJ', 'ADV', 'NOUN', 'PART', 'VERB');(1, 2);5;l2;False;None;l2;0.1;True;1.0;0.6288973491534943;0.6344946149030335;0.6284596135179342;0.6301400081717257;0.6395678622144401;0.6323118895921255;0.6361411571502685;55
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l1;True;None;l1;0.1;True;1000;None;None;None;None;None;None;0.5134608268737793;385
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l1;False;None;l1;0.1;True;1000;None;None;None;None;None;None;0.4872696876525879;385
{'SYM', 'ADJ', 'NOUN', 'PRON', 'PART', 'CONJ', 'VERB', 'INTJ', 'ADV', 'ADP', 'PROPN', 'NUM', 'DET', 'SCONJ', 'X', 'PUNCT', 'AUX'};(1, 1);1;l2;True;None;l1;0.1;True;1000;None;None;None;None;None;None;0.48824048042297363;385
